iter	Passed	Remaining
712	4339	1746
713	4345	1740
714	4351	1734
715	4358	1728
716	4365	1722
717	4371	1717
718	4378	1711
719	4385	1705
720	4391	1699
721	4398	1693
722	4405	1687
723	4412	1682
724	4419	1676
725	4426	1670
726	4433	1664
727	4440	1658
728	4445	1652
729	4452	1646
730	4459	1640
731	4465	1635
732	4471	1628
733	4478	1622
734	4484	1616
735	4491	1610
736	4496	1604
737	4501	1598
738	4506	1591
739	4511	1585
740	4516	1578
741	4522	1572
742	4527	1565
743	4532	1559
744	4537	1553
745	4542	1546
746	4549	1540
747	4555	1534
748	4559	1528
749	4566	1522
750	4570	1515
751	4575	1509
752	4583	1503
753	4588	1496
754	4593	1490
755	4598	1484
756	4603	1477
757	4608	1471
758	4613	1465
759	4618	1458
760	4625	1452
761	4629	1446
762	4635	1439
763	4641	1433
764	4646	1427
765	4651	1421
766	4657	1414
767	4664	1408
768	4670	1403
769	4676	1397
770	4683	1391
771	4691	1385
772	4697	1379
773	4703	1373
774	4709	1367
775	4715	1361
776	4722	1355
777	4727	1348
778	4731	1342
779	4737	1336
780	4743	1329
781	4748	1323
782	4753	1317
783	4758	1310
784	4762	1304
785	4768	1298
786	4773	1291
787	4778	1285
788	4784	1279
789	4789	1273
790	4794	1266
791	4799	1260
792	4804	1254
793	4809	1247
794	4814	1241
795	4819	1235
796	4823	1228
797	4829	1222
798	4833	1216
799	4838	1209
800	4845	1203
801	4849	1197
802	4853	1190
803	4860	1184
804	4864	1178
805	4869	1172
806	4875	1166
807	4880	1159
808	4884	1153
809	4891	1147
810	4895	1140
811	4899	1134
812	4905	1128
813	4910	1122
814	4914	1115
815	4920	1109
816	4924	1103
817	4929	1096
818	4934	1090
819	4939	1084
820	4943	1077
821	4949	1071
822	4955	1065
823	4959	1059
824	4965	1053
825	4970	1046
826	4974	1040
827	4979	1034
828	4985	1028
829	4990	1022
830	4994	1015
831	5000	1009
832	5004	1003
833	5008	996
834	5014	990
835	5019	984
836	5039	981
837	5047	975
838	5051	969
839	5056	963
840	5062	957
841	5067	950
842	5072	944
843	5078	938
844	5083	932
845	5087	926
846	5093	920
847	5098	913
848	5103	907
849	5109	901
850	5113	895
851	5118	889
852	5124	883
853	5128	876
854	5133	870
855	5139	864
856	5143	858
857	5148	852
858	5153	845
859	5158	839
860	5163	833
861	5169	827
862	5174	821
863	5179	815
864	5183	809
865	5189	802
866	5194	796
867	5200	790
868	5204	784
869	5209	778
870	5214	772
871	5219	766
872	5224	760
873	5229	753
874	5235	747
875	5239	741
876	5244	735
877	5249	729
878	5254	723
879	5259	717
880	5265	711
881	5269	705
882	5274	698
883	5280	692
884	5284	686
885	5289	680
886	5295	674
887	5300	668
888	5305	662
889	5310	656
890	5315	650
891	5320	644
892	5326	638
893	5330	632
894	5335	625
895	5341	619
896	5345	613
897	5350	607
898	5356	601
899	5360	595
900	5365	589
901	5370	583
902	5375	577
903	5380	571
904	5386	565
905	5391	559
906	5395	553
907	5401	547
908	5406	541
909	5410	535
910	5416	529
911	5420	523
912	5425	516
913	5431	511
914	5436	505
915	5441	498
916	5447	493
917	5451	486
918	5456	480
919	5462	474
920	5467	468
921	5471	462
922	5477	456
923	5482	450
924	5486	444
925	5491	438
926	5497	432
927	5501	426
928	5507	420
929	5512	414
930	5516	408
931	5521	402
932	5527	396
933	5532	390
934	5536	384
935	5542	378
936	5547	372
937	5552	366
938	5558	361
939	5562	355
940	5567	349
941	5573	343
942	5578	337
943	5583	331
944	5589	325
945	5594	319
946	5599	313
947	5605	307
948	5609	301
949	5614	295
950	5619	289
951	5624	283
952	5628	277
953	5634	271
954	5638	265
955	5643	259
956	5649	253
957	5654	247
958	5659	241
959	5663	235
960	5669	230
961	5673	224
962	5678	218
963	5684	212
964	5689	206
965	5693	200
966	5700	194
967	5705	188
968	5711	182
969	5717	176
970	5722	170
971	5727	164
972	5733	159
973	5739	153
974	5746	147
975	5752	141
976	5758	135
977	5764	129
978	5770	123
979	5777	117
980	5783	112
981	5790	106
982	5796	100
983	5803	94
984	5810	88
985	5816	82
986	5823	76
987	5830	70
988	5837	64
989	5843	59
990	5850	53
991	5857	47
992	5864	41
993	5869	35
994	5876	29
995	5882	23
996	5890	17
997	5897	11
998	5904	5
999	5910	0
